query_id,content_id,QuestionText,CorrectAnswerText,InCorrectAnswerText
105153_D,28721,"the “ length of integer x ” refers to the number of prime factors , not necessarily distinct , that x has . ( if x = 60 , the length of x would be 4 because 60 = 2 × 2 × 3 × 5 . ) what is the greatest possible length of integer z if z < 500 ?",8,10
114476_E,31077,define r * by the equation r * = π - r . then ( ( − π ) * ) * =,− π,4 π
18024_C,6674,"a rotameter is a device that measures flow of liquid and gases . when measuring liquid phase flows , 2.5 inches represent 60 liters per minute of liquid . with gas measurements the rotameter moves 50 % of the movement he moves with the liquid phase . how many liters of gas passed through the rotameter if it measured 4 inches ?",192,202
25381_C,8534,the average age of 3 boys is 15 years and their ages are in proportion 3 : 5 : 7 . what is the age in years of the eldest boy ?,21,16
109085_D,29716,"a boat takes 19 hours for travelling downstream from point a to point b and coming back to a point c midway between a and b . if the velocity of the stream is 4 kmph and the speed of the boat in still water is 14 kmph , what is the distance between a and b ?",180 km,220 km
94045_B,25912,"if one positive integer is greater than another positive integer by 4 , and the difference of their cubes is 316 , what is their sum ?",10,8
113396_C,30805,the wages earned by robin is 30 % more than that earned by erica . the wages earned by charles is 70 % more than that earned by erica . how much percent is the wages earned by charles more than that earned by robin ?,31 %,30 %
20536_D,7308,how many seconds will a 400 metre long train take to cross a man walking with a speed of 3 km / hr in the direction of the moving train if the speed of the train is 63 km / hr ?,24,45
65983_D,18811,"in a rectangular coordinate system , what is the area of a rectangle whose vertices have the coordinates ( - 8 , 1 ) , ( 1 , 1 ) , ( 1 , - 7 and ( - 8 , - 7 ) ?",72,56
44598_A,13398,there are 24 students in a class . in how many different ways can a committee of 3 students be formed ?,2024,1250
16311_C,6242,what sum of money will produce rs . 60 as simple interest in 4 years at 3 1 / 2 percent ?,429,266
69639_A,19740,in what time will a railway train 70 m long moving at the rate of 36 kmph pass a telegraph post on its way ?,7 sec,6 sec
21094_A,7449,a dishonest dealer claims to sell a product at its cost price . he uses a counterfeit weight which is 20 % less than the real weight . further greed overtook him and he added 35 % impurities to the product . find the net profit percentage of the dealer ?,68.75 %,44 %
63681_E,18229,"y = x ^ 2 + bx + 128 cuts the x axis at ( h , 0 ) and ( k , 0 ) . if h and k are integers , what is the least value of b ?",- 129,128
104931_D,28665,"the malibu country club needs to drain its pool for refinishing . the hose they use to drain it can remove 60 cubic feet of water per minute . if the pool is 40 feet wide by 150 feet long by 10 feet deep and is currently at 80 % capacity , how long will it take to drain the pool ?",800,700
94002_B,25901,895.7 – 573.07 – 95.007 = ?,227.623,224.777
83432_A,23228,"if p ( a ) = 4 / 7 and p ( b ) = 2 / 5 , find p ( a n b ) if a and b are independent events .",8 / 35,7 / 25
5714_E,3558,a train 400 m long is running at a speed of 54 km / hr . if it crosses a tunnel in 2 minutes . then what is the length of tunnel ?,1400 m,2200 m
116663_A,31630,"the slant height of a cone is 15 cm and radius of the base is 3 cm , find the curved surface of the cone ?",141,26
96613_B,26561,the ratio of the area of a square to that of the square drawn on its diagonal is ?,1 : 2,3 : 4
95395_E,26253,"abcd is a square . e , f , g , h is the midpoint of the sides of square . j and k is the midpoint of the sides hg and fg . l is a point on sides ef such that lf = 1 / 3 ef . find the ratio of area of triangle jkl to the area of square abcd .",5 : 48,5 : 4
18851_A,6883,"rates for having a manuscript typed at a certain typing service are $ 5 per page for the first time a page is typed and $ 3 per page each time a page is revised . if a certain manuscript has 100 pages , of which 30 were revised only once , 20 were revised twice , and the rest required no revisions , what was the total cost of having the manuscript typed ?",$ 710,$ 430
103825_A,28385,in a throw of dice what is the probability of ge æ « ng number greater than 2,2 / 3,1 / 2
114820_B,31164,"the average age of applicants for a new job is 10 , with a standard deviation of 8 . the hiring manager is only willing to accept applicants whose age is within one standard deviation of the average age . assuming that all applicants ' ages are integers and that the endpoints of the range are included , what is the maximum number of different ages of the applicants ?",17,16
112560_A,30595,"a person is saving money to purchase a car . he earns â £ 4000 per month and saves â £ 500 to buy the car . if he needs â £ 45000 to buy his dream car . how much money he will earn , before he saves enough money to buy the car ?",c - 360000,a - 352000
30429_A,9814,"a certain music store stocks 800 cellos and 600 violas . of these instruments , there are 100 cello - viola pairs , such that a cello and a viola were both made with wood from the same tree ( each tree can make at most one viola and one cello , so there are no pairs other than these 90 ) . if one viola and one cello are chosen at random , what is the probability that the two instruments are made with wood from the same tree ?",1 / 4,3 / 16
4881_A,3349,"john want to buy a $ 100 trouser at the store , but he think it ’ s too expensive . finally , it goes on sale for $ 20 . what is the percent decrease ?",80 %,20 %
84946_E,23610,"1,2 , 3,2 , 4,6 , 4,8 , _____",12,14
2342_B,2706,"one pump drains one - half of a pond in 2 hours , and then a second pump starts draining the pond . the two pumps working together finish emptying the pond in one - half hour . how long would it take the second pump to drain the pond if it had to do the job alone ?",1.3 hour,1.2 hour
76937_E,21586,a shopkeeper sold an article offering a discount of 10 % and earned a profit of 25 % . what would have been the percentage of profit earned if no discount was offered ?,39 %,28 %
95029_E,26161,"tom opened a shop investing rs . 500 . jose joined him 2 months later , investing rs . 350 . they earned a profit of rs . 1720 after completion of one year . what will be jose ' s share of profit ?",80,15
89678_C,24807,14 is what percent of 70 ?,20 %,5 %
21963_B,7668,a train running at the speed of 60 km / hr crosses a pole in 21 seconds . find the length of the train .,350 m,145 m
38787_C,11929,"the ages of 2 persons differ by 35 years . if 10 years ago the elder one be 6 times as old as the younger one , find the present age of elder person .",50,52
101714_B,27852,how many positive integers less than 160 are there such that they are multiples of 13 or multiples of 12 but not both ?,23,19
39880_A,12205,a number when multiplied by 3 is odd and divisible by 9 . this number when multiplied by 4 is 108 . what is the original number ?,27,10
15953_D,6151,a boat having a length 4 m and breadth 3 m is floating on a lake . the boat sinks by 1 cm when a man gets on it . the mass of the man is :,120 kg,96 kg
74008_D,20845,what is the greatest positive integer x such that 4 ^ x is a factor of 64 ^ 10 ?,30,20
31063_C,9974,if the average of 10 consecutive integers is 23.5 then the 10 th integer is : -,28,23
92743_D,25582,"a sum of money is to be distributed among a , b , c , d in the proportion of 5 : 2 : 4 : 3 . if c gets rs . 10000 more than d , what is b ' s share ?",e ) 20000,d ) 23930
113300_B,30781,"how many seconds does sandy take to cover a distance of 700 meters , if sandy runs at a speed of 18 km / hr ?",140,120
60597_D,17445,the area of a circular field is 17.56 hectares . find the cost of fencing it at the rate of rs . 5 per metre approximately,7429,4547
9351_B,4478,a and b go around a circular track of length 1800 m on a cycle at speeds of 36 kmph and 54 kmph . after how much time will they meet for the first time at the starting point ?,360 sec,165 sec
3079_D,2892,"a = { 0 , 1 , - 3 , 6 , - 8 } b = { - 1 , 2 , - 4 , 7 } if a is a number that is randomly selected from set a , and b is a number that is randomly selected from set b , what is the probability that ab > 0 ?",2 / 5,4 / 9
32369_B,10305,"if a speaks the truth 40 % of the times , b speaks the truth 20 % of the times . what is the probability that at least one will tell the truth",0.52,2.0
48967_E,14502,divide rs . 32000 in the ratio 1 : 7 ?,4000,12000
7101_E,3908,how many seconds will a train 100 meters long take to cross a bridge 160 meters long if the speed of the train is 36 kmph ?,26,27
41496_D,12613,[ ( 5 / 2 ÷ 1 / 2 × 5 / 2 ) ] / [ ( 5 / 2 × 1 / 2 ÷ 5 / 2 ) ] = ?,25,16
109547_D,29833,"pipe a fills a tank in 30 minutes . pipe b can fill the same tank 5 times as fast as pipe a . if both the pipes were kept open when the tank is empty , how much time will it take for the tank to overflow ?",5 mins,3 mins
54887_B,16001,a library has an average of 660 visitors on sundays and 240 on other days . the average number of visitors per day in a month of 30 days beginning with a sunday is :,310,276
61926_B,17783,"when positive integer x is divided by positive integer y , the remainder is 7 . if x / y = 86.1 , what is the value of y ?",70,71
33156_D,10504,"a sporting goods store sold 60 frisbees in one week , some for $ 3 and the rest for $ 4 each . if receipts from frisbee sales for the week totaled $ 204 , what is the fewest number of $ 4 frisbees that could have been sold ?",24,4
118793_B,32168,solve for x the equation log 9 ( x 3 ) = log 2 ( 8 ),9,8
108517_B,29572,a farmer planned to plough a field by doing 120 hectares a day . after two days of work he increased his daily productivity by 25 % and he finished the job two days ahead of schedule . a ) what is the area of the field ? b ) in how many days did the farmer get the job done ? c ) in how many days did the farmer plan to get the job done ?,1440,2667
102207_B,27976,in 1 kg mixture of iron and manganese 20 % of manganese . how much iron should be added so that the proportion of manganese becomes 10 %,1 kg,2 kg
48019_E,14262,how many multiples of 5 are there between 1 and 100 ( both are inclusive ) ?,20.8,8.2
10478_A,4764,john ' s bank ' s saving amount is decreased 12 % due to loan payment and current balance is rs . 44000 . find the actual balance before deduction ?,50000,8000
8643_D,4299,"compound x contains elements a and b at an approximate ratio , by weight , of 2 : 10 . approximately how many grams of element b are there in 222 grams of compound x ?",185,270
21575_E,7570,the sum of the present age of henry and jill is 40 . what is their present ages if 11 years ago henry was twice the age of jill ?,and 23,of these
10241_B,4703,"what least number should be subtracted from 2590 so that the remainder when divided by 9 , 11 , and 13 will leave in each case the same remainder 6 ?",10,3
86163_C,23919,"39 persons can repair a road in 12 days , working 5 hours a day . in how many days will 15 persons , working 6 hours a day , complete the work ?",26,14
50772_C,14959,"if x is an integer such that 0 < x < 12 , 1 < x < 15 , 10 > x > 5 , 11 > x > 8 , and x + 2 < 12 , then x is",9,7
64639_A,18471,"rectangular tile each of size 70 cm by 30 cm must be laid horizontally on a rectangular floor of size 900 cm by 600 cm , such that the tiles do not overlap and they are placed with edges jutting against each other on all edges . a tile can be placed in any orientation so long as its edges are parallel to the edges of floor . no tile should overshoot any edge of the floor . the maximum number of tiles that can be accommodated on the floor is :",100,50
119626_B,32378,"in a sample of 800 high school students in which all students are either freshmen , sophomores , juniors , or seniors , 27 percent are juniors and 75 percent are not sophomores . if there are 160 seniors , how many more freshmen than sophomores are there among the sample of students ?",24,18
13556_B,5545,the sum of all the digits of the integers from 18 to 21 inclusive is 24 ( 1 + 8 + 1 + 9 + 2 + 0 + 2 + 1 = 24 ) . what is the sum w of all the digits of the integers from 0 to 99 inclusive ?,900,810
13160_A,5444,one - third of 1206 is what percent of 134 ?,300,3
50926_E,14998,if shares of two persons in profits are rs . 800 and rs . 600 then ratio of their capitals is,4 : 3,1 : 5
51709_E,15196,"if a coin has an equal probability of landing heads up or tails up each time it is flipped , what is the probability that the coin will land tails up exactly twice in 2 consecutive flips ?",0.25,0.666
111232_D,30259,a train speeds past a pole in 20 seconds and a platform 100 m long in 25 seconds . its length is ?,400 m,150 m
84240_D,23432,"a luxury liner , queen marry ii , is transporting several cats as well as the crew ( sailors , a cook , and captain ) to a nearby port . altogether , these passengers have 15 heads and 42 legs . how many cats does the ship host ?",6,8
94332_E,25984,"two trains 200 m and 180 m long are running on parallel rails at the rate of 40 kmph and 45 kmph respectively . in how much time will they cross each other , if they are running in the same direction ?",273.6 sec,none
106445_A,29048,a batsman makes a score of 87 runs in the 17 th inning and thus increases his average by 2 . find his average after 17 th inning .,none of the above,36
90863_E,25106,a room is 7 meters 20 centimeters in length and 4 meters 32 centimeters in width . find the least number of square tiles of equal size required to cover the entire floor of the room .,15,21
80117_B,22390,the banker ' s gain on a bill due due 1 year hence at 12 % per annum is rs . 9 . the true discount is,rs . 75,rs . 36
5800_B,3580,the sum of two consecutive integers is 21 . find the numbers .,10,7
98037_E,26922,"the distance between west - town to east - town is 14 kilometers . two birds start flying simultaneously towards one another , the first leaving from west - town at a speed of 5 kilometers per minute and the second bird , leaving from east - town , at a speed of 2 kilometers per minute . what will be the distance , in kilometers , between the meeting point and west - town ?",10 .,15 .
3599_A,3024,"it takes printer a 4 more minutes more than printer b to print 40 pages . working together , the two printers can print 50 pages in 6 minutes . how long will it take printer a to print 160 pages ?",48,12
74480_A,20965,"a can run 2 km distance in 2 min . , while b can run this distance in 2 min 40 sec . by how much distance can a beat b ?",500 m,150 m
94960_C,26144,"a cat leaps 5 leaps for every 4 leaps of a dog , but 3 leaps of the dog are equal to 4 leaps of the cat . what is the ratio of the speed of the cat to that of the dog ?",15 : 16,16 : 15
49044_C,14522,"alice , benjamin , and carol each try independently to win a carnival game . if their individual probabilities for success are 1 / 5 , 3 / 8 , and 2 / 7 , respectively , what is the probability that exactly two of the 3 players will win but one will lose ?",7 / 40,3 / 56
106480_E,29056,"how many positive integers less than 8,000 are there in which the sum of the digits equals 5 ?",56,53
115951_E,31449,"an amount of rs . 10000 is invested in two types of shares . the first yields an interest of 9 % p . a and the second , 11 % p . a . if the total interest at the end of one year is 9 3 / 4 % , then the amount invested at 11 % was ?",3750,1987
52143_B,15306,"a , b , c subscribe rs . 50,000 for a business . a subscribes rs . 4000 more than b and b rs . 5000 more than c . out of a total profit of rs . 35,000 , a receives :",rs . 14,rs . 11
71626_C,20243,"for any integer n greater than 1 , # n denotes the product of all the integers from 1 to n , inclusive . how many prime numbers v are there between # 6 + 2 and # 6 + 6 , inclusive ?",none,two
115881_B,31432,two trains are moving in the same direction at 72 kmph and 36 kmph . the faster train crosses a man in the slower train in 18 seconds . find the length of the faster train ?,180,277
95613_D,26308,"the ratio between the presents of the a and b is 6 : 7 . if b is 4 years older than a , what will be the ratio of the ages of a and b after 4 years ?",7 : 8,6 : 7
87624_A,24289,"in business , a and c invested amounts in the ratio 3 : 2 , whereas the ratio between amounts invested by a and b was 3 : 1 , if rs 60000 was their profit , how much amount did c receive .",20000,10000
102545_D,28061,the population of a village is 12000 . it increases annually at the rate of 24 % p . a . what will be its population after 2 years ?,18451,18786
76304_B,21426,"at an upscale fast - food restaurant , shin can buy 3 burgers , 7 shakes , and one cola for $ 130 . at the same place it would cost $ 164.50 for 4 burgers , 10 shakes , and one cola . how much would it cost for a meal of one burger , one shake , and one cola ?",$ 61,$ 27
3857_C,3089,"crazy eddie has a key chain factory . eddie managed to decrease the cost of manufacturing his key chains while keeping the same selling price , and thus increased the profit from the sale of each key chain from 40 % of the selling price to 50 % of the selling price . if the manufacturing cost is now $ 50 , what was it before the decrease ?",$ 60,$ 50
112183_C,30499,"if 1 / ( x + 2 ) + 1 / ( x - 2 ) = 1 / ( x + 2 ) , what is the value of x ?",- 2,1
11133_D,4930,"a 6000 liter tank , half - full of water is being filled from a pipe with a flow rate of 1 kiloliter every 2 minutes . at the same time , the tank is losing water from two drains at a rate of 1 kiloliter every 4 minutes and every 6 minutes . how many minutes does it take to fill the tank completely ?",36,24
19268_A,6988,what is 12 percent of 80 ?,9.6,11.21
55539_B,16166,"a line has a slope of 3 / 4 and intersects the point ( - 12 , - 39 ) . at which point e does this line intersect the x - axis ?",( 400 ),( 300 )
35026_A,10976,the compound interest earned by sunil on a certain amount at the end of two years at the rate of 8 % p . a . was rs . 2828.80 . find the total amount that sunil got back at the end of two years in the form of principal plus interest earned ?,19828.8,19828.29
3290_E,2945,three numbers are in the ratio 4 : 5 : 6 and their average is 36 . the largest number is :,43.2,45
64280_D,18380,one year before the age of pramila was 4 times than her daughter swati . after 6 years the age of pramila will be 24 year greater than the age of swati . then calculate the ratio of ages of pramila and swati ?,11 : 3,11 : 5
60516_A,17425,what is the minimum value of | x - 4 | + | x + 6 | + | x - 5 | ?,11,- 3
25589_A,8587,"a certain sum of money is divided among a , b and c so that for each rs . a has , b has 65 paisa and c 40 paisa . if c ' s share is rs . 48 , find the sum of money ?",246,288
60266_E,17361,"at the end of year x , automobile installment credit accounted for 36 % of all outstanding consumer installment credit . at that time automobile finance companies extended $ 35 billion of credit , or 1 / 3 of the automobile installment credit . how many billion dollars of consumer installment credit was outstanding at that time ?",291.67,249.55
7929_E,4117,what is the units digit of 17 ^ 83 × 13 ^ 82 × 11 ^ 87 ?,7,8
85278_E,23694,"how many positive integers less than 28 are prime numbers , odd multiples of 5 , or the sum of a positive multiple of 2 and a positive multiple of 4 ?",22,20
21679_B,7597,"a is an integer greater than 49 but less than 61 , b is an integer greater than 59 but less than 71 , what is the range of a / b ?",2 / 7,1 / 2
9849_B,4603,"an empty fuel tank with a capacity of 200 gallons was filled partially with fuel a and then to capacity with fuel b . fuel a contains 12 % ethanol by volume and fuel b contains 16 % ethanol by volume . if the full fuel tank contains 30 gallons of ethanol , how many gallons of fuel a were added ?",50,150
23972_A,8177,"if two projectiles are launched at the same moment from 1182 km apart and travel directly towards each other at 460 km per hour and 525 km per hour respectively , how many minutes will it take for them to meet ?",72,68
117899_C,31941,"a women in her conversation said ` ` if u reverse my own age , in figures represent my husbands age . he is of course senior to me and difference between our age is one 0 ne - eleventh of their sum . what is the woman ' s and her husbands age ?",4554,8457
16885_C,6386,in an election a candidate who gets 60 % of the votes is elected by a majority of 1040 votes . what is the total number of votes polled ?,b ) 5200,c ) 6900
74376_D,20938,a dishonest person wants to make a profit on the selling of milk . he would like to mix water ( costing nothing ) with milk costing 33 $ per litre so as to make a profit of 20 % on cost when he sells the resulting milk and water mixture for 36 $ . in what ratio should he mix the water and milk ?,1 : 10,1 : 4
118486_D,32089,what is the sum of the multiples of 4 between 13 and 125 inclusive ?,1,3
75836_A,21308,( ( 1 ^ m ) / ( 5 ^ m ) ) ( ( 1 ^ 16 ) / ( 4 ^ 16 ) ) = 1 / ( 2 ( 10 ) ^ 31 ) what is m ?,31,17
86646_B,24042,"each week , harry is paid x dollars per hour for the first 30 hours and 1.5 x dollars for each additional hour worked that week . each week , james is paid x dollars per hour for the first 40 hours and 2 x dollars for each additional hour worked that week . last week james worked a total of 53 hours . if harry and james were paid the same amount last week , how many hours did harry work last week ?",54,36
114484_A,31080,"a person travels equal distances with speeds of 3 km / hr , 6 km / hr , 9 km / hr . and takes a total time of 11 minutes . find the total distance ?",900 mts,1 km
104303_B,28505,"city x has a population 7 times as great as the population of city y , which has a population twice as great as the population of city z . what is the ratio of the population of city x to the population of city z ?",14 : 1,1 : 4
2896_B,2846,"ratio between rahul and deepak is 5 : 2 , after 6 years rahul age will be 26 years . what is deepak present age .",8,15
15806_B,6114,the distance between delhi and mathura is 140 kms . a starts from delhi with a speed of 24 kmph at 7 a . m . for mathura and b starts from mathura with a speed of 46 kmph at 8 a . m . from delhi . when will they meet ?,9 1 / 2,23 3 / 4
24129_E,8216,"angelo and isabella are both salespersons . in any given week , angelo makes $ 540 in base salary plus 8 percent of the portion of his sales above $ 1,000 for that week . isabella makes 10 percent of her total sales for any given week . for what amount of weekly sales would angelo and isabella earn the same amount of money ?",23,27
18809_B,6872,the value of ( 34.5 * 0.473 * 1.567 ) / ( 0.0673 * 23.25 * 7.57 ) is close to,2.16,1.15
56814_D,16488,the sector of a circle has radius of 14 cm and central angle 144 o . find its perimeter ?,63.2 cm,80 cm
115217_D,31264,"if n is the greatest positive integer for which 4 ^ n is a factor of 8 ! , then n = ?",2,8
71512_E,20214,"the output of a factory is increased by 10 % to keep up with rising demand . to handle the holiday rush , this new output is increased by 40 % . by approximately what percent would the output of the factory now have to be decreased in order to restore the original output ?",35 %,79 %
98123_D,26944,what is the rate percent when the simple interest on rs . 2000 amount to rs . 500 in 2 years ?,12.5 %,95 %
98836_E,27124,"a rectangular field is to be fenced on three sides leaving a side of 20 feet uncovered . if the area of the field is 680 sq . ft , how many feet of fencing will be required ?",88 feet,83 feet
65032_D,18569,light glows for every 13 seconds . how many max . times did it glow between 1 : 57 : 58 and 3 : 20 : 47 am .,382 times,392 times
111667_C,30369,"what is the sum of two consecutive even numbers , the difference of whose squares is 84 ?",42,48
105155_A,28722,after decreasing 50 % in the price of an article costs rs . 620 . find the actual cost of an article ?,1240,1400
14096_C,5682,a train running at the speed of 180 km / hr crosses a pole in 8 seconds . find the length of the train .,400,480
77496_B,21728,"a glucose solution contains 10 grams of glucose per 100 cubic centimeters of solution . if 45 cubic centimeters of the solution were poured into an empty container , how many grams of glucose would be in the container ?",4.50,5.00
28186_C,9245,"you cook a pot of beef stew for you and your roommate . normally it lasts 7 days between the two of you . if 3 guests are now staying with you and your roommate , how many days will the beef stew now last if everyone eats it ?",2.8,3.5
18365_C,6760,the volumes of two cones are in the ratio 1 : 12 and the radii of the cones are in the ratio of 1 : 3 . what is the ratio of their heights ?,a ) 3 : 4,c ) 2 : 2
41228_A,12546,"suresh started a business , investing rs . 18000 . after 3 months and 4 months respectively , rohan and sudhir joined him with capitals of 12000 and 9000 . at the end of the year the total profit was rs . 4048 . what is the difference between rohan ’ s and sudhir ’ s share in the profit ?",s . 368,s . 345
38615_C,11885,"a clock hangs on the wall of a railway station , 71 ft 9 in long and 10 ft 4 in high . those are the dimension of the wall , not the clock ! while waiting for a train we noticed that the hands of the clock were pointing in opposite directions , and were parallel to one of the diagonals of the wall , what was the exact time ?",7 : 5,7 : 25
92212_C,25448,"a certain shade of gray paint is obtained by mixing 3 parts of white paint with 5 parts of black paint . if 2 gallons of the mixture is needed and the individual colors can be purchased only in one gallon or half gallon cans , what is the least amount of paint r , in gallons , that must be purchased in order to measure out the portions needed for the mixture ?",2 1 / 2,3
38324_A,11812,16 boys or 24 girls can construct the wall in 6 days . the number of days that 8 boys and 6 girls will take to construct ?,8 days,7 days
52661_D,15437,"a train consists of 12 boggies , each boggy 15 metres long . the train crosses a telegraph post in 9 seconds . due to some problem , two boggies were detached . the train now crosses a telegraph post in",7.5 sec,20 sec
10627_C,4801,a train speeds past a pole in 15 seconds and a platform 100 m long in 25 seconds . its length is :,150 m,130 m
54184_C,15823,a certain taxi company charges $ 3.00 for the first 1 / 5 of a mile plus $ 0.40 for each additional 1 / 5 of a mile . what would this company charge for a taxi ride that was 8 miles long ?,18.6,17.5
69775_B,19774,a can run 4 times as fast as b and gives b a start of 72 m . how long should the race course be so that a and b might reach in the same time ?,96 m,60 m
105091_B,28706,"nicky and cristina are running a race . since cristina is faster than nicky , she gives him a 30 meter head start . if cristina runs at a pace of 5 meters per second and nicky runs at a pace of only 3 meters per second , how many seconds will nicky have run before cristina catches up to him ?",15 seconds,18 seconds
